n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
155,2.467569351196289,-0.650936,-0.0663243,0.00683153,-2.24201,-0.858148,1.0794,0,0,0,0,0,0,12441,0
156,2.4839775562286377,-0.650957,-0.0663178,0.00681897,-2.242,-0.858132,1.0794,0,0,0,0,0,0,12441,0
157,2.4999682903289795,-0.650951,-0.0663243,0.00682383,-2.242,-0.858121,1.0794,0,0,0,0,0,0,12443,0
158,2.5159456729888916,-0.650942,-0.0662905,0.00681906,-2.24195,-0.858137,1.0793,0,0,0,0,0,0,12443,0
159,2.53194522857666,-0.650965,-0.0663076,0.006874,-2.24194,-0.858095,1.0795,0,0,0,0,0,0,12444,0
160,2.547938108444214,-0.65097,-0.0663004,0.00686068,-2.24193,-0.858025,1.0794,0,0,0,0,0,0,12445,0
161,2.563917636871338,-0.650957,-0.066257,0.00685317,-2.24184,-0.857852,1.0793,0,0,0,0,0,0,12442,0
162,2.579796075820923,-0.651016,-0.0662348,0.00691174,-2.24179,-0.857685,1.0794,0,0,0,0,0,0,12442,0
163,2.5957653522491455,-0.65095,-0.066203,0.00686044,-2.2418,-0.857828,1.0792,0,0,0,0,0,0,12439,0
164,2.6114485263824463,-0.65096,-0.0661955,0.00685092,-2.2418,-0.85777,1.0792,0,0,0,0,0,0,12440,0
165,2.628157377243042,-0.650959,-0.0662156,0.00685915,-2.24177,-0.857843,1.0792,0,0,0,0,0,0,12444,0
166,2.6436638832092285,-0.650953,-0.0661828,0.0068628,-2.24178,-0.857774,1.0792,0,0,0,0,0,0,12442,0
167,2.6596522331237793,-0.650969,-0.0662171,0.00689544,-2.24175,-0.857789,1.0793,0,0,0,0,0,0,12445,0
168,2.675750970840454,-0.650944,-0.0662217,0.00687553,-2.24178,-0.857856,1.0792,0,0,0,0,0,0,12445,0
169,2.6917552947998047,-0.650959,-0.0662137,0.00688528,-2.24177,-0.857789,1.079,0,0,0,0,0,0,12442,0
170,2.7077865600585938,-0.650959,-0.0662114,0.00691943,-2.24172,-0.857795,1.0793,0,0,0,0,0,0,12442,0
171,2.7237319946289062,-0.650972,-0.0662137,0.00695243,-2.2417,-0.857755,1.0794,0,0,0,0,0,0,12444,0
172,2.739738941192627,-0.650956,-0.0662059,0.00689779,-2.24177,-0.857732,1.0793,0,0,0,0,0,0,12442,0
173,2.755206823348999,-0.650972,-0.0662308,0.00692,-2.24175,-0.857777,1.0793,0,0,0,0,0,0,12443,0
174,2.7710561752319336,-0.650969,-0.0662158,0.00690659,-2.24176,-0.857789,1.0793,0,0,0,0,0,0,12439,0
175,2.7876391410827637,-0.650956,-0.0662139,0.0068829,-2.24178,-0.857765,1.0793,0,0,0,0,0,0,12442,0
