n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
151,2.4056074619293213,-0.659472,-0.0657842,0.00660137,-2.24185,-0.857986,1.0778,0,0,0,0,0,0,12451,0
152,2.4215283393859863,-0.659149,-0.0657822,0.00657711,-2.24197,-0.858061,1.0777,0,0,0,0,0,0,12449,0
153,2.4374868869781494,-0.658853,-0.0657765,0.0065415,-2.24213,-0.858094,1.0776,0,0,0,0,0,0,12454,0
154,2.453441858291626,-0.658554,-0.0657886,0.00652809,-2.24208,-0.858302,1.077,0,0,0,0,0,0,12451,0
155,2.469435453414917,-0.658421,-0.0657441,0.00654734,-2.24187,-0.85827,1.0774,0,0,0,0,0,0,12457,0
156,2.4853663444519043,-0.658009,-0.0658189,0.00657405,-2.24184,-0.858448,1.0777,0,0,0,0,0,0,12462,0
157,2.5013256072998047,-0.657761,-0.0658456,0.00664598,-2.24168,-0.858352,1.078,0,0,0,0,0,0,12462,0
158,2.5172834396362305,-0.657523,-0.0658574,0.00671545,-2.24159,-0.858255,1.0782,0,0,0,0,0,0,12453,0
159,2.534238815307617,-0.657248,-0.065888,0.00672287,-2.24161,-0.858313,1.0783,0,0,0,0,0,0,12449,0
160,2.5501935482025146,-0.657041,-0.0658975,0.00662658,-2.24168,-0.858514,1.078,0,0,0,0,0,0,12448,0
161,2.565185070037842,-0.656806,-0.0659126,0.00666984,-2.24173,-0.85843,1.0781,0,0,0,0,0,0,12461,0
162,2.5811426639556885,-0.656379,-0.0658751,0.00666695,-2.24181,-0.85847,1.0779,0,0,0,0,0,0,12461,0
163,2.5980653762817383,-0.656379,-0.0658751,0.00666695,-2.24181,-0.85847,1.0779,0,0,0,0,0,0,12451,0
164,2.6140224933624268,-0.655815,-0.0659128,0.0066636,-2.24202,-0.858381,1.0779,0,0,0,0,0,0,12452,0
165,2.6299819946289062,-0.655704,-0.0659436,0.00671889,-2.24198,-0.858147,1.0781,0,0,0,0,0,0,12448,0
166,2.6459388732910156,-0.655229,-0.0660088,0.00663751,-2.24215,-0.858482,1.0779,0,0,0,0,0,0,12456,0
167,2.6620543003082275,-0.655013,-0.0659888,0.00669093,-2.24207,-0.858286,1.078,0,0,0,0,0,0,12458,0
168,2.6777307987213135,-0.654785,-0.0660522,0.00676254,-2.24196,-0.858147,1.0784,0,0,0,0,0,0,12458,0
169,2.693371534347534,-0.654573,-0.0660521,0.00667018,-2.24202,-0.858379,1.0783,0,0,0,0,0,0,12452,0
170,2.7092299461364746,-0.654359,-0.0660907,0.00677398,-2.24197,-0.858096,1.0788,0,0,0,0,0,0,12462,0
171,2.725206136703491,-0.653963,-0.0660759,0.00677155,-2.24192,-0.858097,1.0788,0,0,0,0,0,0,12450,0
172,2.7411718368530273,-0.653811,-0.0660673,0.00673682,-2.2419,-0.858184,1.078,0,0,0,0,0,0,12450,0
173,2.7581286430358887,-0.653346,-0.0660929,0.006668,-2.24204,-0.858368,1.0785,0,0,0,0,0,0,12455,0
174,2.7742364406585693,-0.653235,-0.0660409,0.00670001,-2.24187,-0.858291,1.0783,0,0,0,0,0,0,12449,0
175,2.7901694774627686,-0.652979,-0.0660904,0.0067164,-2.24195,-0.858362,1.0784,0,0,0,0,0,0,12452,0
176,2.8052284717559814,-0.652543,-0.0661034,0.00666534,-2.2419,-0.858794,1.0782,0,0,0,0,0,0,12462,0
177,2.8212180137634277,-0.652283,-0.0661328,0.0066941,-2.24185,-0.858919,1.0782,0,0,0,0,0,0,12442,0
178,2.8372085094451904,-0.652009,-0.0661288,0.00675149,-2.24182,-0.858835,1.0783,0,0,0,0,0,0,12458,0
179,2.8535423278808594,-0.651765,-0.06617,0.00674317,-2.24181,-0.858835,1.0785,0,0,0,0,0,0,12461,0
180,2.8694980144500732,-0.651643,-0.0661626,0.00677756,-2.24181,-0.858621,1.0786,0,0,0,0,0,0,12460,0
181,2.8854236602783203,-0.651271,-0.0662147,0.0068667,-2.2416,-0.858606,1.0791,0,0,0,0,0,0,12464,0
182,2.9013819694519043,-0.651018,-0.0662219,0.0068995,-2.24166,-0.858433,1.0793,0,0,0,0,0,0,12452,0
183,2.917339563369751,-0.650771,-0.0662559,0.00690916,-2.24174,-0.858339,1.0794,0,0,0,0,0,0,12449,0
184,2.9333269596099854,-0.650458,-0.0662099,0.00684025,-2.24185,-0.858313,1.079,0,0,0,0,0,0,12461,0
185,2.9492838382720947,-0.650312,-0.0662403,0.00681266,-2.24192,-0.858215,1.079,0,0,0,0,0,0,12450,0
186,2.9652414321899414,-0.649866,-0.0662145,0.00676418,-2.24204,-0.858218,1.0788,0,0,0,0,0,0,12452,0
187,2.981199026107788,-0.649605,-0.0662098,0.00675109,-2.24207,-0.858195,1.0787,0,0,0,0,0,0,12450,0
188,2.9971559047698975,-0.649308,-0.0662215,0.0067109,-2.24217,-0.858403,1.0786,0,0,0,0,0,0,12456,0
189,3.0131139755249023,-0.649101,-0.0662443,0.00671943,-2.24214,-0.858477,1.0787,0,0,0,0,0,0,12462,0
190,3.0290396213531494,-0.64896,-0.0662088,0.00672835,-2.24209,-0.858445,1.0786,0,0,0,0,0,0,12472,0
191,3.0450315475463867,-0.648644,-0.0662464,0.00677625,-2.24205,-0.858487,1.0788,0,0,0,0,0,0,12467,0
192,3.0609540939331055,-0.64858,-0.0662884,0.00680622,-2.24207,-0.8584,1.079,0,0,0,0,0,0,12483,0
193,3.0769104957580566,-0.6483,-0.0663257,0.0068512,-2.24204,-0.858369,1.0793,0,0,0,0,0,0,12485,0
194,3.092867851257324,-0.648124,-0.0662838,0.0068819,-2.24194,-0.858137,1.0794,0,0,0,0,0,0,12478,0
195,3.108825206756592,-0.648027,-0.0663529,0.00689401,-2.24182,-0.858439,1.0796,0,0,0,0,0,0,12482,0
196,3.124814987182617,-0.647791,-0.0663177,0.00695299,-2.24181,-0.85821,1.0796,0,0,0,0,0,0,12483,0
197,3.1407411098480225,-0.647675,-0.0662785,0.00691044,-2.24189,-0.858129,1.0795,0,0,0,0,0,0,12490,0
198,3.1576945781707764,-0.647419,-0.0662906,0.00688264,-2.24182,-0.85828,1.0793,0,0,0,0,0,0,12507,0
199,3.1736526489257812,-0.647265,-0.0662736,0.00688053,-2.2419,-0.858233,1.0793,0,0,0,0,0,0,12507,0
200,3.1886136531829834,-0.647155,-0.0663225,0.00684384,-2.2419,-0.85862,1.0792,0,0,0,0,0,0,12520,0
201,3.2055845260620117,-0.646942,-0.0662618,0.00683457,-2.24189,-0.858525,1.079,0,0,0,0,0,0,12518,0
202,3.220853805541992,-0.646829,-0.066266,0.00682838,-2.24193,-0.858543,1.0791,0,0,0,0,0,0,12530,0
203,3.23685359954834,-0.646731,-0.0662822,0.0068308,-2.24203,-0.858435,1.0791,0,0,0,0,0,0,12532,0
204,3.2528107166290283,-0.646607,-0.0662492,0.00683358,-2.24206,-0.858312,1.0791,0,0,0,0,0,0,12527,0
205,3.268768310546875,-0.64659,-0.0662325,0.0068826,-2.24189,-0.858291,1.0791,0,0,0,0,0,0,12537,0
206,3.2847256660461426,-0.646416,-0.0662276,0.00683125,-2.24186,-0.858393,1.0789,0,0,0,0,0,0,12547,0
207,3.3007147312164307,-0.646358,-0.0661965,0.00683124,-2.24198,-0.858255,1.079,0,0,0,0,0,0,12558,0
208,3.316678047180176,-0.646278,-0.0662161,0.00681881,-2.24206,-0.858216,1.0791,0,0,0,0,0,0,12550,0
209,3.332629680633545,-0.646219,-0.0661777,0.00681302,-2.24201,-0.858391,1.0789,0,0,0,0,0,0,12555,0
210,3.348555326461792,-0.646171,-0.066219,0.00674661,-2.24203,-0.858327,1.0788,0,0,0,0,0,0,12562,0
211,3.365544319152832,-0.646096,-0.0662535,0.00677715,-2.24208,-0.858435,1.0789,0,0,0,0,0,0,12565,0
212,3.381469964981079,-0.646089,-0.0662386,0.00678895,-2.24206,-0.858265,1.079,0,0,0,0,0,0,12571,0
213,3.3974287509918213,-0.646089,-0.0662386,0.00678895,-2.24206,-0.858265,1.079,0,0,0,0,0,0,12578,0
214,3.4135489463806152,-0.646088,-0.0662368,0.00682694,-2.24204,-0.858134,1.0791,0,0,0,0,0,0,12568,0
215,3.430518388748169,-0.646122,-0.0662432,0.00684796,-2.24211,-0.857931,1.0792,0,0,0,0,0,0,12559,0
216,3.4454638957977295,-0.646077,-0.0662135,0.006807,-2.242,-0.858167,1.079,0,0,0,0,0,0,12570,0
