n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
157,2.5062968730926514,-0.665788,-0.0652828,0.00639635,-2.24181,-0.857576,1.0767,0,0,0,0,0,0,12600,0
158,2.5232510566711426,-0.665796,-0.0652516,0.00639694,-2.24183,-0.857425,1.0767,0,0,0,0,0,0,12596,0
159,2.5392086505889893,-0.665796,-0.0652516,0.00639694,-2.24183,-0.857425,1.0767,0,0,0,0,0,0,12597,0
160,2.555166006088257,-0.665775,-0.0652317,0.00639193,-2.24184,-0.85746,1.0767,0,0,0,0,0,0,12601,0
161,2.5711233615875244,-0.665786,-0.0652167,0.00641332,-2.24182,-0.857371,1.0768,0,0,0,0,0,0,12598,0
162,2.587080717086792,-0.665815,-0.0652212,0.00642185,-2.24185,-0.857306,1.0768,0,0,0,0,0,0,12597,0
163,2.6030380725860596,-0.665771,-0.0652247,0.00637808,-2.24185,-0.857414,1.0767,0,0,0,0,0,0,12596,0
164,2.61899471282959,-0.665828,-0.0652745,0.00644672,-2.24183,-0.857367,1.0769,0,0,0,0,0,0,12596,0
165,2.6349520683288574,-0.665813,-0.0652659,0.00640881,-2.24186,-0.857422,1.076,0,0,0,0,0,0,12592,0
166,2.650909185409546,-0.665807,-0.0652321,0.00642008,-2.24186,-0.857359,1.0768,0,0,0,0,0,0,12594,0
167,2.666867256164551,-0.665828,-0.0652164,0.00641399,-2.24184,-0.857316,1.0768,0,0,0,0,0,0,12595,0
168,2.6828248500823975,-0.665759,-0.0652357,0.00632872,-2.2419,-0.857526,1.0766,0,0,0,0,0,0,12594,0
169,2.6987826824188232,-0.665768,-0.065249,0.00637769,-2.24189,-0.857445,1.0767,0,0,0,0,0,0,12602,0
170,2.714738368988037,-0.665777,-0.0652287,0.00638917,-2.24189,-0.857432,1.0768,0,0,0,0,0,0,12599,0
171,2.730695962905884,-0.665777,-0.0652162,0.00638145,-2.24188,-0.857392,1.0767,0,0,0,0,0,0,12598,0
172,2.7466530799865723,-0.66579,-0.0652202,0.00638962,-2.24183,-0.857424,1.0767,0,0,0,0,0,0,12597,0
173,2.76261043548584,-0.665789,-0.0652662,0.00638494,-2.24184,-0.857522,1.0768,0,0,0,0,0,0,12597,0
174,2.7785685062408447,-0.665759,-0.0652132,0.00638097,-2.24188,-0.857428,1.0767,0,0,0,0,0,0,12600,0
175,2.794524908065796,-0.665769,-0.0652175,0.0063872,-2.24184,-0.857435,1.0767,0,0,0,0,0,0,12601,0
176,2.810483455657959,-0.665783,-0.0652383,0.00641518,-2.24183,-0.857478,1.0768,0,0,0,0,0,0,12597,0
177,2.826439380645752,-0.665789,-0.065245,0.00640639,-2.24188,-0.85741,1.0768,0,0,0,0,0,0,12599,0
178,2.8423988819122314,-0.665761,-0.0652266,0.00637079,-2.24189,-0.857446,1.0767,0,0,0,0,0,0,12593,0
179,2.8583548069000244,-0.665798,-0.0652355,0.00638275,-2.2419,-0.857363,1.076,0,0,0,0,0,0,12600,0
180,2.8743128776550293,-0.665798,-0.0652355,0.00638275,-2.2419,-0.857363,1.076,0,0,0,0,0,0,12596,0
181,2.8902714252471924,-0.665778,-0.0652213,0.00637592,-2.2419,-0.857377,1.0767,0,0,0,0,0,0,12596,0
182,2.906226634979248,-0.665766,-0.0652126,0.00634778,-2.24192,-0.857417,1.0766,0,0,0,0,0,0,12593,0
183,2.922184467315674,-0.66577,-0.0652287,0.00637771,-2.24186,-0.857412,1.0767,0,0,0,0,0,0,12601,0
184,2.938141345977783,-0.665771,-0.0652467,0.00639209,-2.24183,-0.857482,1.0767,0,0,0,0,0,0,12600,0
